product_name,product_asin,product_price,product_ratings,product_ratings_num,product_link
"Fast Wireless Charger,20W Max Wireless Charging Pad Compatible with iPhone 14/14 Plus/14 Pro/14 Pro Max/13/12/11/X/8,AirPods;FDGAO Wireless Charge Mat for Samsung Galaxy S22/S20/Galaxy Buds",B09123BHRG,13.99,3.8 out of 5 stars,"8,104",https://www.amazon.com/Wireless-Qi-Certified-Charging-Compatible-FDGAO/dp/B09123BHRG/ref=sr_1_11?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-11
"Yootech Wireless Charger,10W Max Wireless Charging Stand, Compatible with iPhone 14/14 Plus/14 Pro/14 Pro Max/13/13 Mini/13 Pro Max/SE 2022/12/11/X/8, Galaxy S22/S22 Ultra/S21/S20/S10(No AC Adapter)",B07N682SWY,14.99,4.6 out of 5 stars,"15,838",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A089523633E13SNH4WYZU&qualifier=1685676513&id=8291726485555377&widgetName=sp_mtf&url=%2FYootech-Wireless-Qi-Certified-Charging-Compatible%2Fdp%2FB07N682SWY%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2YPB3MLG6L2UV%26keywords%3Dwireless%2Bcharger%26qid%3D1685676513%26sprefix%3D%252Caps%252C78%26sr%3D8-12-spons%26psc%3D1
"Fast Wireless Charger,NANAMI Qi Certified Wireless Charging Stand Compatible iPhone 14/13/12/SE 2020/11/XS Max/XR/X/8 Plus,Samsung Galaxy S23/S22/S21/S20/S10/S9/Note 20 Ultra/10 and Qi-Enabled Phone",B06XXZK99F,18.99,4.3 out of 5 stars,"48,457",https://www.amazon.com/Wireless-NANAMI-Certified-Compatible-Qi-Enabled/dp/B06XXZK99F/ref=sr_1_13?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-13
"20W Fast Wireless Charger Pad,Wireless Phone Charging Station Compatible with iPhone 14/13/12/11/SE/X/AirPods,Fast Charge for Samsung Galaxy S23/S22/S21/S20/Note 20/Buds/Buds +,Pixel 7/6/5,LG G8/7/6",B0C233SVVS,12.99,4.1 out of 5 stars,15,https://www.amazon.com/Wireless-Charger-Charging-Station-Compatible/dp/B0C233SVVS/ref=sr_1_14?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-14
TOZO W1 Wireless Charger 10W Thin Aviation Aluminum Computer Numerical Control Technology Fast Charging Pad Black (NO AC Adapter),B07FM8R7J1,10.99,4.3 out of 5 stars,"97,093",https://www.amazon.com/TOZO-Wireless-Upgraded-Sleep-Friendly-FastCharging/dp/B07FM8R7J1/ref=sr_1_15?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-15
"Fast Wireless Charger, [2 Pack] NANAMI Qi Certified Wireless Charging Stand Compatible iPhone 14/13/12/SE 2020/11 Pro/XS Max/XR/8, Samsung Galaxy S23/S22/S21/S20/S10/S9/Note 20/10 and Qi-Enabled Phone",B07YBV3P8W,33.99,4.4 out of 5 stars,"5,993",https://www.amazon.com/Wireless-NANAMI-Certified-Compatible-Qi-Enabled/dp/B07YBV3P8W/ref=sr_1_16?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-16
"Wireless Charging Pad,TELSOR Portable 3 in 1 Wireless Charger Station for Multiple Devices,Ultra-Slim Travel Charging Pad for Apple Watch 7/6/5/4/3/2,iPhone 14 13 12 Pro& AirPods 3/2/Pro",B0C3CMFVJV,20.79,4.5 out of 5 stars,45,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0749679SR4EAFTS0GRB&qualifier=1685676513&id=8291726485555377&widgetName=sp_mtf&url=%2FWireless-Charging-TELSOR-Portable-Ultra-Slim%2Fdp%2FB0C3CMFVJV%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2YPB3MLG6L2UV%26keywords%3Dwireless%2Bcharger%26qid%3D1685676513%26sprefix%3D%252Caps%252C78%26sr%3D8-17-spons%26psc%3D1
"Wireless Charger [2 Pack], 15W Fast Wireless Charging Stand,Qi Wireless Charger Compatible with iPhone 13/12 /11Pro Max/XR/XS/X/8 Plus,Galaxy S21/S20/S10/S9/S8/Note 20/10,Google,LG,etc",B09SHG435M,26.99,4.3 out of 5 stars,"1,341",https://www.amazon.com/Wireless-Charger-iPhone-Compatible-Qi-Enable/dp/B09SHG435M/ref=sr_1_18?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-18
"Wireless Portable Charger 30,800mAh 15W Wireless Charging 25W PD QC4.0 Fast Charging Smart LED Display USB-C Power Bank, 4 Output & 2 Input External Battery Pack Compatible with iPhone, Samsung etc",B0915T91JN,34.95,4.2 out of 5 stars,"17,467",https://www.amazon.com/Wireless-Portable-Charging-External-Compatible/dp/B0915T91JN/ref=sr_1_19?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-19
Fast Wireless Charger COVIXXIO 10W Wireless Charging Stand Compatible with iPhone 14 13 12 11 Pro XR XS 8 Plus Galaxy S22 S21 S20 S10 Note 20 10 Google LG (Black),B0C531FJ6X,19.99,3.8 out of 5 stars,11,https://www.amazon.com/Wireless-Charger-COVIXXIO-Charging-Compatible/dp/B0C531FJ6X/ref=sr_1_20?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-20
"Wireless Charger, 15W Fast Wireless Charging Station, SAFUEL Wireless Charging Stand with Sleep-Friendly Light for iPhone 14 13 12 Pro XR XS 8 Plus Samsung Galaxy S22 S21 S20 Note 10 Ultra Google",B09QPRBG29,17.99,4.5 out of 5 stars,534,https://www.amazon.com/Wireless-SAFUEL-Charging-Sleep-Friendly-Adaptive/dp/B09QPRBG29/ref=sr_1_21?crid=2YPB3MLG6L2UV&keywords=wireless+charger&qid=1685676513&sprefix=%2Caps%2C78&sr=8-21
"Yootech Wireless Charger,10W Max Fast Wireless Charging Pad Compatible with iPhone 14/14 Plus/14 Pro/14 Pro Max/13/13 Mini/SE 2022/12/11/X/8,Samsung Galaxy S22/S21/S20,AirPods Pro 2(No AC Adapter)",B079KZ49PJ,13.99,4.3 out of 5 stars,"191,716",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A023932218CP7L46GYHHV&qualifier=1685676513&id=8291726485555377&widgetName=sp_btf&url=%2FWireless-Qi-Certified-Charging-Compatible-Qi-Enabled%2Fdp%2FB079KZ49PJ%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2YPB3MLG6L2UV%26keywords%3Dwireless%2Bcharger%26qid%3D1685676513%26sprefix%3D%252Caps%252C78%26sr%3D8-22-spons%26psc%3D1
